orig,kr
獲得条件<br>思い出の石版を累計で***個入手,획득조건<br>추억의 석판을 누계 ***개 획득
スカイレンジャー,스카이 레인저
レンジャーヒーロー,레인저 히어로
獲得条件<br>「俺達のレンジャーサイン！」貢献度******達成,획득조건<br>「우리들의 레인저 사인！」 공헌도 ****** 달성
獲得条件<br>「俺達のレンジャーサイン！」貢献度*******達成,획득조건<br>「우리들의 레인저 사인！」 공헌도 ******* 달성
獲得条件<br>「俺達のレンジャーサイン！」ストーリーを*話までクリア,획득조건<br>「우리들의 레인저 사인！」 스토리 *화를 클리어
レンジャーの血が騒いできたぜ,레인저의 피가 끓어오른다고
勇猛なる森の戦士ここに参上ッ！,용감한 숲의 전사 이곳에 등장！
獲得条件<br>「俺達のレンジャーサイン！」のフリークエストでフェンリルとジェイドを合計*体討伐,획득조건<br>「우리들의 레인저 사인！」의 프리 퀘스트에서 펜릴과<br>제이드를 합계 *체 토벌
獲得条件<br>「俺達のレンジャーサイン！」のフリークエストでフェンリルとジェイドを合計**体討伐,획득조건<br>「우리들의 레인저 사인！」의 프리 퀘스트에서 펜릴과<br>제이드를 합계 **체 토벌
獲得条件<br>「俺達のレンジャーサイン！」のフリークエストでフェンリルとジェイドを合計***体討伐,획득조건<br>「우리들의 레인저 사인！」의 프리 퀘스트에서 펜릴과<br>제이드를 합계 ***체 토벌
獲得条件<br>フリークエスト「フェンリルとの戦い」をクリア,획득조건<br>프리 퀘스트 「펜릴과의 싸움」을 클리어
獲得条件<br>フリークエスト「ジェイドとの戦い」をクリア,획득조건<br>프리 퀘스트 「제이드와의 싸움」을 클리어

「英雄再起」へ,「영웅재기」로
騎士ノイシュが王の命令で真龍ディアドラを討伐し、魔物が暴走して王国は滅びた。時は流れ、アルスター島では亡き王の子ヘルエスとセルエルの姉弟がディアドラ復活を目指していた──
サイドストーリー「英雄再起」で手に入ります,사이드 스토리 「영웅재기」에서 획득할 수 있습니다

むぅ……触れることを許す,음……만지는걸 허락하지
獲得条件：汚れた麻袋を累計で***個入手,획득조건：더러운 마대를 누계 ***개 획득

ふむ……悪くない,흠……나쁘지 않군
獲得条件：法陣の魔晶石を累計で***個入手,획득조건：법진의 마정석을 누계 ***개 획득

不実の騎士,불성실한 기사
獲得条件：「英雄再起」貢献度******達成,획득조건：「영웅재기」 공헌도 ****** 달성

傷つくる者,상처입은 자
獲得条件：「英雄再起」 ストーリーを*話までクリア,획득조건：「영웅재기」 스토리 *화를 클리어

災いと悲しみを招く者,재앙과 슬픔을 가져오는 자

ディアド……スカーサハ！,디아드……스카사하！
獲得条件：チャレンジクエスト「名付け親」をクリア,획득조건：챌린지 퀘스트 「대부」를 클리어

ディアドラバスター,디아드라 버스터
獲得条件：「英雄再起」のフリークエストでスカジとディアドラを合計*体討伐,획득조건：「영웅재기」의 프리 퀘스트에서 스카디와 디아드라를 합계 *체 토벌

吹っ切れた,개운해진
獲得条件：フリークエスト「ディアドラ討伐戦」をクリア,획득조건：프리 퀘스트 「디아드라 토벌전」을 클리어
獲得条件<br>汚れた麻袋を累計で***個入手,획득조건<br>더러운 마대를 누계 ***개 획득
獲得条件<br>法陣の魔晶石を累計で***個入手,획득조건<br>법진의 마정석을 누계***개 획득
葛藤の竜騎士,갈등의 용기사
再起の英雄,재기의 영웅
獲得条件<br>「英雄再起」貢献度******達成,획득조건<br>「영웅재기」 공헌도 ****** 달성
獲得条件<br>「英雄再起」貢献度*******達成,획득조건<br>「영웅재기」 공헌도 ******* 달성
獲得条件<br>「英雄再起」 ストーリーを*話までクリア,획득조건<br>「영웅재기」 스토리 *화를 클리어
獲得条件<br>チャレンジクエスト「名付け親」をクリア,획득조건<br>챌린지 퀘스트 「대부」를 클리어
ディアドラスレイヤー,디아드라 슬레이어
ディアドラジェノサイダー,디아드라 제노사이더
獲得条件<br>「英雄再起」のフリークエストでスカジとディアドラを合計*体討伐,획득조건<br>「영웅재기」의 프리 퀘스트에서 스카디와 디아드라를<br>합계 *체 토벌
獲得条件<br>「英雄再起」のフリークエストでスカジとディアドラを合計**体討伐,획득조건<br>「영웅재기」의 프리 퀘스트에서 스카디와 디아드라를<br>합계 **체 토벌
獲得条件<br>「英雄再起」のフリークエストでスカジとディアドラを合計***体討伐,획득조건<br>「영웅재기」의 프리 퀘스트에서 스카디와 디아드라를<br>합계 ***체 토벌
獲得条件<br>フリークエスト「ディアドラ討伐戦」をクリア,획득조건<br>프리 퀘스트 「디아드라 토벌전」을 클리어

「孤独の竜姫」へ,「고독한 용공주」로
マナリア魔法学院の生徒達が禁忌の術を行使した。それにより発生した厄災は瞬く間に島内を呑み込んでいく。生徒であるグレアは親友との思い出が残る学院を守るため、厄災と戦うことを決意するが──
サイドストーリー「孤独の竜姫」で手に入ります,사이드 스토리 「고독한 용공주」에서 획득할 수 있습니다

マナリア魔法学院へようこそ！,마나리아 마법학원에 어서오세요！
獲得条件：「孤独の竜姫」貢献度******達成,획득조건：「고독한 용공주」 공헌도 ****** 달성

言の葉を交わすのも一興,말만해도 재미있는
獲得条件：「孤独の竜姫」ストーリーを*話までクリア,획득조건：「고독한 용공주」 스토리 *화를 클리어

認めぬ……認めぬゥゥ！！,인정 못해…… 인정 못한다！！

空谷の跫音,공곡공음
獲得条件：「孤独の竜姫」のフリークエストで異形の司令塔とケイオスビーストを合計*体討伐,획득조건：「고독한 용공주」의 프리 퀘스트에서 이형의 사령탑과 카오스 비스트를 합계 *체 토벌

礼も作法も必要なし,인사는 필요없는
獲得条件：フリークエスト「ケイオスビーストとの戦い」をクリア,획득조건：프리 퀘스트 「카오스 비스트와의 싸움」을 클리어
マナリア魔法学院生,마나리아 마법학원학생
魔術の名門,마술명문
獲得条件<br>「孤独の竜姫」貢献度******達成,획득조건<br>「고독한 용공주」 공헌도 ****** 달성
獲得条件<br>「孤独の竜姫」貢献度*******達成,획득조건<br>「고독한 용공주」 공헌도 ******* 달성
獲得条件<br>「孤独の竜姫」ストーリーを*話までクリア,획득조건<br>「고독한 용공주」 스토리 *화를 클리어
大切な人を守るための力,소중한 사람을 지키기 위한 힘
音楽室に咲く花,음악실에 핀 꽃
獲得条件<br>「孤独の竜姫」のフリークエストで異形の司令塔とケイオスビーストを合計*体討伐,획득조건<br>「고독한 용공주」의 프리 퀘스트에서 이형의 사령탑과<br>카오스 비스트를 합계 *체 토벌
獲得条件<br>「孤独の竜姫」のフリークエストで異形の司令塔とケイオスビーストを合計**体討伐,획득조건<br>「고독한 용공주」의 프리 퀘스트에서 이형의 사령탑과<br>카오스 비스트를 합계 **체 토벌
獲得条件<br>「孤独の竜姫」のフリークエストで異形の司令塔とケイオスビーストを合計***体討伐,획득조건<br>「고독한 용공주」의 프리 퀘스트에서 이형의 사령탑과<br>카오스 비스트를 합계 ***체 토벌
獲得条件<br>フリークエスト「ケイオスビーストとの戦い」をクリア,획득조건<br>프리 퀘스트 「카오스 비스트와의 싸움」을 클리어

「ポーチャーズ・デイ」へ,「포쳐즈 데이」로
変わった名物を引っ提げリゾート地として再開発された漁師の島、ベンディク島。賑やかな夏が始まるかと思われたが……その裏には、密猟者の不穏な影が潜んでいるのだった。
サイドストーリー「ポーチャーズ・デイ」で手に入ります,사이드 스토리 「포쳐즈 데이」에서 획득할 수 있습니다

海の頂点捕食者,바다의 최상위 포식자
獲得条件：ベンディクブルークラブを累計で***個入手,획득조건：벤디크 블루 크랩을 누계 ***개 획득

美味しくいただいてやるからな,맛있게 먹을테니까
獲得条件：香油を累計で***個入手,획득조건：향유를 누계 ***개 획득

新人漁師,신입 어부
獲得条件：「ポーチャーズ・デイ」貢献度******達成,획득조건：「포쳐즈 데이」 공헌도 ****** 달성

この合理的で理に適ったデザイン！,이 합리적인 디자인！
獲得条件：「ポーチャーズ・デイ」ストーリーを*話までクリア,획득조건：「포쳐즈 데이」 스토리 *화를 클리어

んにーっ！,으앗！

バカンスにしゅっぱーつ！,바캉스 출발！
獲得条件：「ポーチャーズ・デイ」のフリークエストでゴシパラヤ＝ゲィルとンニを合計*体討伐,획득조건：「포쳐즈 데이」의 프리 퀘스트에서 고시파라야＝게루와 썽게를 합계 *체 토벌

重要なのは中身,중요한 것은 알맹이
獲得条件：フリークエスト「ゴシパラヤ＝ゲィル迎撃戦」をクリア,획득조건：프리 퀘스트 「고시파라야＝게루 요격전」을 클리어

クイーンハンター,퀸 헌터
獲得条件：フリークエスト「ンニ収獲戦」をクリア,획득조건：프리 퀘스트 「썽게 수확전」을 클리어
獲得条件<br>ベンディクブルークラブを累計で***個入手,획득조건<br>벤디크 블루 크랩을 누계 ***개 획득
獲得条件<br>香油を累計で***個入手,획득조건<br>향유를 누계 ***개 획득
屈強な漁師,굴강한 어부
ベテラン漁師,베테랑 어부
獲得条件<br>「ポーチャーズ・デイ」貢献度******達成,획득조건<br>「포쳐즈 데이」 공헌도 ****** 달성
獲得条件<br>「ポーチャーズ・デイ」貢献度*******達成,획득조건<br>「포쳐즈 데이」 공헌도 ******* 달성
獲得条件<br>「ポーチャーズ・デイ」ストーリーを*話までクリア,획득조건<br>「포쳐즈 데이」 스토리 *화를 클리어
野郎共、ついてこーい！,"이 녀석들아, 따라와라！"
団長代理に任せなさい！,단장대리에게 맡기세요！
獲得条件<br>「ポーチャーズ・デイ」のフリークエストでゴシパラヤ＝ゲィルとンニを合計*体討伐,획득조건<br>「포쳐즈 데이」의 프리 퀘스트에서 고시파라야＝게루와 썽게를 합계 *체 토벌
獲得条件<br>「ポーチャーズ・デイ」のフリークエストでゴシパラヤ＝ゲィルとンニを合計**体討伐,획득조건<br>「포쳐즈 데이」의 프리 퀘스트에서 고시파라야＝게루와 썽게를 합계 **체 토벌
獲得条件<br>「ポーチャーズ・デイ」のフリークエストでゴシパラヤ＝ゲィルとンニを合計***体討伐,획득조건<br>「포쳐즈 데이」의 프리 퀘스트에서 고시파라야＝게루와 썽게를 합계 ***체 토벌
獲得条件<br>フリークエスト「ゴシパラヤ＝ゲィル迎撃戦」をクリア,획득조건<br>프리 퀘스트 「고시파라야＝게루 요격전」을 클리어
獲得条件<br>フリークエスト「ンニ収獲戦」をクリア,획득조건<br>프리 퀘스트 「썽게 수확전」을 클리어

「サウザンド・バウンド」へ,「사우전드 바운드」로
城砦都市アルビオン。かつてない熱狂に包まれたこの島で今、「スカイグランデ・ファイト」開始のゴングが鳴り響く。猛き闘志のぶつかり合いの果て、栄光を手にする者は──
サイドストーリー「サウザンド・バウンド」で手に入ります,사이드 스토리 「사우전드 바운드」에서 획득할 수 있습니다

ファイト・エントリ,파이트 엔트리
獲得条件：「サウザンド・バウンド」貢献度******達成,획득조건：「사우전드 바운드」 공헌도 ****** 달성

全身傷だらけ,상처투성이
獲得条件：「サウザンド・バウンド」ストーリーを*話までクリア,획득조건：「사우전드 바운드」 스토리 *화를 클리어

封印した力,봉인한 힘

拳から受けとった強き想い,주먹으로 받아들인 강렬한 마음
獲得条件：「サウザンド・バウンド」のフリークエストでガンダゴウザとアルハリードを合計*体討伐,획득조건：「사우전드 바운드」의 프리 퀘스트에서<br>간다고우자와 알하리드를 합계 *체 토벌

肉体の限界に挑む者,육체의 한계에 도전하는 자
獲得条件：フリークエスト「ガンダゴウザとの戦い」をクリア,획득조건：프리 퀘스트 「간다고우자와의 싸움」을 클리어

Champion
獲得条件：フリークエスト「アルハリードとの戦い」をクリア,획득조건：프리 퀘스트 「알하리드와의 싸움」을 클리어
予選突破,예선 돌파
決勝進出,결승 진출
獲得条件<br>「サウザンド・バウンド」貢献度******達成,획득조건<br>「사우전드 바운드」 공헌도 ****** 달성
獲得条件<br>「サウザンド・バウンド」貢献度*******達成,획득조건<br>「사우전드 바운드」 공헌도 ******* 달성
獲得条件<br>「サウザンド・バウンド」ストーリーを*話までクリア,획득조건<br>「사우전드 바운드」 스토리 *화를 클리어
ご自慢の拳で語ってみせろ！,자랑하는 주먹으로 말해봐라！
俺の拳が燃えるぜェェェ！！,나의 주먹이 불타오른다！！
獲得条件<br>「サウザンド・バウンド」のフリークエストでガンダゴウザとアルハリードを合計*体討伐,획득조건<br>「사우전드 바운드」의 프리 퀘스트에서 간다고우자와<br>알하리드를 합계 *체 토벌
獲得条件<br>「サウザンド・バウンド」のフリークエストでガンダゴウザとアルハリードを合計**体討伐,획득조건<br>「사우전드 바운드」의 프리 퀘스트에서 간다고우자와<br>알하리드를 합계 **체 토벌
獲得条件<br>「サウザンド・バウンド」のフリークエストでガンダゴウザとアルハリードを合計***体討伐,획득조건<br>「사우전드 바운드」의 프리 퀘스트에서 간다고우자와<br>알하리드를 합계 ***체 토벌
獲得条件<br>フリークエスト「ガンダゴウザとの戦い」をクリア,획득조건<br>프리 퀘스트 「간다고우자와의 싸움」을 클리어
獲得条件<br>フリークエスト「アルハリードとの戦い」をクリア,획득조건<br>프리 퀘스트 「알하리드와의 싸움」을 클리어

SGFポイント交換,SGF 포인트 교환

スクレ・オーンブルノワール,수크레 옹브르 느와르
正体を隠したまま闘技大会に出場すべく、シスが新たに誂えさせた漆黒のマント。,"정체를 숨기고 투기대회에 출전하기 위해, 시스가 새로 맞춘 칠흑의 망토"
格闘キャラ解放武器ガチャチケット
格闘キャラ解放武器確定ガチャが引けるチケット！

「Aqours スカイハイ！」へ,「Aqours 스카이하이！」로
新作PVを作るために悪戦苦闘するAqoursのメンバー達。そんな中、メンバー達は部室で居眠りをしてしまう。やがて目が覚めると、そこは見たことのない場所で──
サイドストーリー「Aqours スカイハイ！」で手に入ります,사이드 스토리 「Aqours 스카이하이！」에서 획득할 수 있습니다

シャイニー♪,샤이니 ♪
獲得条件：浦女魂扇子を累計で***個入手,획득조건：우라죠의 혼 부채를 누계 ***개 획득

獲得条件：黒い羽根を累計で***個入手,획득조건：검은 깃털을 누계 ***개 획득

おいでリトルデーモン,어서와 리틀데몬
獲得条件：「Aqours スカイハイ！」ストーリーを「ここはどこ？」までクリア,획득조건：「Aqours 스카이하이！」 스토리 「여긴 어디야？」를 클리어

全速前進ヨーソロー！,그대로 전속전진！
獲得条件：「Aqours スカイハイ！」ストーリーをエンディングまでクリア,획득조건：「Aqours 스카이하이！」의 엔딩을 클리어

ブッブーですわ！,뿟뿌에요！
獲得条件：「Aqours スカイハイ！」のフリークエストでニヒリスと暴走するニヒリスを合計*体討伐,획득조건：「Aqours 스카이하이！」의 프리 퀘스트에서 니힐리스와 폭주하는 니힐리스를 합계 *체 토벌

獲得条件：フリークエスト「ニヒリスの力を退けろ！」をクリア,획득조건：프리 퀘스트 「니힐리스의 힘을 저지하라！」를 클리어

奇跡だよーっ！,기적이야！
獲得条件：フリークエスト「決戦、星晶獣ニヒリス」をクリア,"획득조건：프리 퀘스트 「결전, 성정수 니힐리스」를 클리어"
獲得条件<br>浦女魂扇子を累計で***個入手,획득조건<br>우라죠의 혼 부채를 누계 ***개 획득
獲得条件<br>黒い羽根を累計で***個入手,획득조건<br>검은 깃털을 누계 ***개 획득
獲得条件<br>「Aqours スカイハイ！」ストーリーを「ここはどこ？」までクリア,획득조건<br>「Aqours 스카이하이！」 스토리<br>「여긴 어디야？」를 클리어
獲得条件<br>「Aqours スカイハイ！」ストーリーをエンディングまでクリア,획득조건<br>「Aqours 스카이하이！」의 엔딩을 클리어
ハグしよ♪,허그하자 ♪
梨子ちゃんビーム！,리코쨩 빔！
獲得条件<br>「Aqours スカイハイ！」のフリークエストでニヒリスと暴走するニヒリスを合計*体討伐,획득조건<br>「Aqours 스카이하이！」의 프리 퀘스트에서<br>니힐리스와 폭주하는 니힐리스를 합계 *체 토벌
獲得条件<br>「Aqours スカイハイ！」のフリークエストでニヒリスと暴走するニヒリスを合計**体討伐,획득조건<br>「Aqours 스카이하이！」의 프리 퀘스트에서<br>니힐리스와 폭주하는 니힐리스를 합계 **체 토벌
獲得条件<br>「Aqours スカイハイ！」のフリークエストでニヒリスと暴走するニヒリスを合計***体討伐,획득조건<br>「Aqours 스카이하이！」의 프리 퀘스트에서<br>니힐리스와 폭주하는 니힐리스를 합계 ***체 토벌
獲得条件<br>フリークエスト「ニヒリスの力を退けろ！」をクリア,획득조건<br>프리 퀘스트 「니힐리스의 힘을 저지하라！」를 클리어
獲得条件<br>フリークエスト「決戦、星晶獣ニヒリス」をクリア,"획득조건<br>프리 퀘스트 「결전, 성정수 니힐리스」를 클리어"

「蒼空の食卓をともに」へ,「창공의 식탁에서 함께」로
食べ歩き専門ギルド【美食殿】が訪れた島は、多種多様な食材に溢れ、料理の名店が軒を連ねる「グルメ街」があることで知られていた。だが大切な仲間とはぐれてしまい──
ストーリーを進めて<br>ペコリーヌを仲間にしよう！,스토리를 진행하여<br>페코린느를 동료로 삼자！
サイドストーリー「蒼空の食卓をともに」で手に入ります,사이드 스토리 「창공의 식탁에서 함께」에서 획득할 수 있습니다

プリンセスナイト,프린세스 나이트
獲得条件：身代わりのバングルを累計で***個入手,획득조건：수호의 팔찌를 누계 ***개 획득

Lost prince
獲得条件：「蒼空の食卓をともに」ストーリー「黒い影が舌なめずり」までクリア,획득조건：「창공의 식탁에서 함께」 스토리 「입맛을 다시는 검은 그림자」를 클리어

ようやく巡り会えました、主さま……,드디어 만났습니다. 주인님……
獲得条件：「蒼空の食卓をともに」ストーリーのエンディングまでクリア,획득조건：「창공의 식탁에서 함께」의 엔딩을 클리어

獲得条件：「蒼空の食卓をともに」のフリークエストで奇妙なネコとヤマネコを合計*体討伐,획득조건：「창공의 식탁에서 함께」의 프리 퀘스트에서 괴상한 고양이와 살쾡이를 합계 *체 토벌

主な目的は食べ歩き,주된 목적은 맛집 찾기
獲得条件：フリークエスト「囚われし主さまを取り戻せ！」をクリア,획득조건：프리 퀘스트 「붙잡힌 주인님을 되찾아라！」를 클리어

幸せの食卓をともに,행복의 식탁에서 함께
獲得条件：フリークエスト「グルメ街に潜むバケモノ」をクリア,획득：프리 퀘스트 「먹자골목에 숨은 괴물」을 클리어
獲得条件<br>身代わりのバングルを累計で***個入手,획득조건<br>수호의 팔찌를 누계 ***개 획득
獲得条件<br>「蒼空の食卓をともに」ストーリー「黒い影が舌なめずり」までクリア,획득조건<br>「창공의 식탁에서 함께」 스토리<br>「입맛을 다시는 검은 그림자」를 클리어
獲得条件<br>「蒼空の食卓をともに」ストーリーのエンディングまでクリア,획득조건<br>「창공의 식탁에서 함께」의 엔딩을 클리어
にゃん、にゃお～ん♪,"냥, 냐～옹 ♪"
「めっ」でございますよ,"""떽""이에요"
獲得条件<br>「蒼空の食卓をともに」のフリークエストで奇妙なネコとヤマネコを合計*体討伐,획득조건<br>「창공의 식탁에서 함께」의 프리 퀘스트에서<br>괴상한 고양이와 살쾡이를 합계 *체 토벌
獲得条件<br>「蒼空の食卓をともに」のフリークエストで奇妙なネコとヤマネコを合計**体討伐,획득조건<br>「창공의 식탁에서 함께」의 프리 퀘스트에서<br>괴상한 고양이와 살쾡이를 합계 **체 토벌
獲得条件<br>「蒼空の食卓をともに」のフリークエストで奇妙なネコとヤマネコを合計***体討伐,획득조건<br>「창공의 식탁에서 함께」의 프리 퀘스트에서<br>괴상한 고양이와 살쾡이를 합계 ***체 토벌
獲得条件<br>フリークエスト「囚われし主さまを取り戻せ！」をクリア,획득조건<br>프리 퀘스트 「붙잡힌 주인님을 되찾아라！」를 클리어
獲得条件<br>フリークエスト「グルメ街に潜むバケモノ」をクリア,획득조건<br>프리 퀘스트 「먹자골목에 숨은 괴물」을 클리어

「サイコー！FANTASY」へ,「최고！FANTASY」로
映画「グランブルーファンタジー」のＣＭ撮影直前、DRAMATIC STARSはスタッフが忽然と消えてしまったことに気づく。困惑する中、ふと聞き覚えのある声がして──
サイドストーリー「サイコー！FANTASY」で手に入ります,사이드 스토리 「최고！FANTASY」에서 획득할 수 있습니다

しあわせにな～れ☆,행복해져～라☆
獲得条件：ぷかぷかバルーンを累計で***個入手,획득조건：둥실둥실 풍선을 누계 ***개 획득

カエル国の王子様,개구리 나라의 왕자님
獲得条件：ぺかぺかクラウンを累計で***個入手,획득조건：반짝반짝 왕관을 누계 ***개 획득

サイコー！,최고！
獲得条件：チャレンジクエスト「サイコー！FANTASY」をクリア,획득조건：챌린지 퀘스트 「최고！FANTASY」를 클리어

最近のぬいぐるみは凄いな,요즘 인형은 굉장하네
獲得条件：フリークエスト「撮影開始！」をクリア,획득조건：프리 퀘스트 「촬영 시작！」을 클리어

理由(ワケ)あって、騎空士！,"사정이 있어서, 기공사！"
獲得条件：フリークエスト「カエールのそっくりさん」をクリア,획득조건：프리 퀘스트 「개구리랑 닮은 꼴」을 클리어

けろけろ～っ♪,개굴개굴～♪
獲得条件：「サイコー！FANTASY」のフリークエストで緑の魔物を合計*体討伐,획득조건：「최고！FANTASY」의 프리 퀘스트에서 초록색 마물을 합계 *체 토벌
獲得条件<br>ぷかぷかバルーンを累計で***個入手,획득조건<br>둥실둥실 풍선을 누계 ***개 획득
獲得条件<br>ぺかぺかクラウンを累計で***個入手,획득조건<br>반짝반짝 왕관을 누계 ***개 획득
獲得条件<br>チャレンジクエスト「サイコー！FANTASY」をクリア,획득조건<br>챌린지 퀘스트 「최고！FANTASY」를 클리어
獲得条件<br>フリークエスト「撮影開始！」をクリア,획득조건<br>프리 퀘스트 「촬영 시작！」을 클리어
獲得条件<br>フリークエスト「カエールのそっくりさん」をクリア,획득조건<br>프리 퀘스트 「개구리랑 닮은 꼴」을 클리어
けろーん！,개굴！
けろけろ～ん,개굴개굴～
獲得条件<br>「サイコー！FANTASY」のフリークエストで緑の魔物を合計*体討伐,획득조건<br>「최고！FANTASY」의 프리 퀘스트에서<br>초록색 마물을 합계 *체 토벌
獲得条件<br>「サイコー！FANTASY」のフリークエストで緑の魔物を合計**体討伐,획득조건<br>「최고！FANTASY」의 프리 퀘스트에서<br>초록색 마물을 합계 **체 토벌
獲得条件<br>「サイコー！FANTASY」のフリークエストで緑の魔物を合計***体討伐,획득조건<br>「최고！FANTASY」의 프리 퀘스트에서<br>초록색 마물을 합계 ***체 토벌

「交差する運命の物語」へ,「교차하는 운명의 이야기」로
時空に干渉する力を持つ星晶獣ヴァシュロン。その能力は時として別世界より英雄を導く。何故の意志か、恣意なのか、かの星晶獣は今、異なる２つの世界を邂逅させようとしていた。
サイドストーリー「交差する運命の物語」で手に入ります,사이드 스토리 「교차하는 운명의 이야기」에서 획득할 수 있습니다

神隠しの正体,행방불명의 정체
獲得条件：フリークエスト「異世界からの来訪者」をクリア,획득조건：프리 퀘스트 「이세계로부터의 방문자」를 클리어

大いなる黒渦,커다란 검은 소용돌이
獲得条件：フリークエスト「ヴァシュロンとの戦い」をクリア,획득조건：프리 퀘스트「바쉐론과의 싸움」을 클리어

精霊の主マクスウェル,정령의 주인 맥스웰
獲得条件：「交差する運命の物語」ストーリー「ミラ編 なすべきこと」をクリア,획득조건：「교차하는 운명의 이야기」 스토리 「미라편 해야 할 일」을 클리어

猫捜しています,고양이를 찾고 있어요
獲得条件：「交差する運命の物語」ストーリー「ユーリ編 猫を巡る旅路」をクリア,획득조건：「교차하는 운명의 이야기」 스토리 「유리편 고양이를 둘러싼 여행길」을 클리어

カニタマー,게살 계란부침
獲得条件：「交差する運命の物語」ストーリー「ソフィ編 失われた記憶を求めて」をクリア,획득조건：「교차하는 운명의 이야기」 스토리 「소피편 잃어버린 기억을 찾아서」을 클리어

アスタリアの邂逅者,아스테리아의 해후
獲得条件：「交差する運命の物語」ストーリーをエンディングまでクリア

再会を信じて,재회를 믿고
獲得条件：チャレンジクエスト「星のカケラを求めし者」をクリア
獲得条件<br>フリークエスト「異世界からの来訪者」をクリア
獲得条件<br>フリークエスト「ヴァシュロンとの戦い」をクリア
獲得条件<br>「交差する運命の物語」ストーリー「ミラ編 なすべきこと」をクリア
獲得条件<br>「交差する運命の物語」ストーリー「ユーリ編 猫を巡る旅路」をクリア
獲得条件<br>「交差する運命の物語」ストーリー「ソフィ編 失われた記憶を求めて」をクリア
獲得条件<br>「交差する運命の物語」ストーリーをエンディングまでクリア
獲得条件<br>チャレンジクエスト「星のカケラを求めし者」をクリア

「蒼穹に散るゼロ」へ,「창공에 떨어진 제로」로
皇歴****年、ヨコハマ租界のランドマークタワーで大規模なテロが発生。ゼロことルルーシュ率いる黒の騎士団とスザクを筆頭とするブリタニア軍はこれを収束させるため出撃する。
ストーリーを進めて<br>カレンを仲間にしよう！,스토리를 진행하여<br>카렌을 동료로 삼자！
サイドストーリー「蒼穹に散るゼロ」で手に入ります,사이드 스토리 「창공에 떨어진 제로」에서 획득할 수 있습니다

共犯者,공범자
獲得条件：キングのチェスピースを累計で***個入手

撃たれる覚悟があるやつ,총에 맞을 각오가 있는 녀석
獲得条件：「蒼穹に散るゼロ」ストーリー「人質 奪還」までクリア

私と生きるか、私と死ぬかだ！,"나와 살 것인지, 나와 죽을 것인지다！"
獲得条件：「蒼穹に散るゼロ」ストーリーをエンディングまでクリア

自分は未練はありません,저는 더 이상 미련이 없어요
獲得条件：「蒼穹に散るゼロ」のフリークエストでジークフリートと星晶獣マグネシアを合計*体討伐

結ぶぞ、その契約！,"맺겠다, 그 계약！"
獲得条件：フリークエスト「ナナリー 奪還 作戦」をクリア

オールハイル ブリタニア！,올 하일 브리타니아！
獲得条件：フリークエスト「蒼穹 を 襲う 脅威」をクリア
獲得条件<br>キングのチェスピースを累計で***個入手
獲得条件<br>「蒼穹に散るゼロ」ストーリー「人質 奪還」までクリア
獲得条件<br>「蒼穹に散るゼロ」ストーリーをエンディングまでクリア
お前に死なれては困る,네가 죽으면 곤란해
我々を恐れ、求めるがいい！,"우리를 두려워하라, 갈망하라！"
獲得条件<br>「蒼穹に散るゼロ」のフリークエストでジークフリートと星晶獣マグネシアを合計*体討伐
獲得条件<br>「蒼穹に散るゼロ」のフリークエストでジークフリートと星晶獣マグネシアを合計**体討伐
獲得条件<br>「蒼穹に散るゼロ」のフリークエストでジークフリートと星晶獣マグネシアを合計***体討伐
獲得条件<br>フリークエスト「ナナリー 奪還 作戦」をクリア
獲得条件<br>フリークエスト「蒼穹 を 襲う 脅威」をクリア
